city,city_id,country,utc_dt,latitude,longitude,temperature,max_temp,cloudiness,humidity,wind_speed
Gladstone,2165478,AU,1619410601,-23.85,151.25,80.6,80.6,0,39,14.97
Lavrentiya,4031637,RU,1619410601,65.5833,-171.0,32.97,32.97,97,92,0.56
Torbat-e Jām,1159362,IR,1619410601,35.244,60.6225,74.88,74.88,43,19,5.68
Hasaki,2112802,JP,1619410602,35.7333,140.8333,62.64,66.0,20,26,10.36
Dawlatabad,1142226,AF,1619410602,36.4141,64.9053,77.9,77.9,11,20,3.69
Mumford,2297810,GH,1619410603,5.2618,-0.759,80.13,80.13,85,84,6.62
Mindelo,3374462,CV,1619410512,16.8901,-24.9804,69.8,69.8,40,68,10.36
Slave Lake,6149374,CA,1619410603,55.2834,-114.769,41.0,41.0,90,30,4.61
Katsuura,2112309,JP,1619410470,35.1333,140.3,60.85,63.0,20,25,17.27
Green River,5826559,US,1619410339,41.5286,-109.4662,42.91,43.0,75,65,9.22
Back Mountain,5178800,US,1619410318,41.3359,-75.9963,43.52,46.4,1,49,11.5
Sitka,5557293,US,1619410604,57.0531,-135.33,55.4,55.4,1,50,3.44
Charter Township of Clinton,4989133,US,1619410605,42.587,-82.9199,34.59,36.0,1,93,8.05
Kieta,2094027,PG,1619410605,-6.2167,155.6333,85.73,85.73,23,66,6.82
Linqing,1803367,CN,1619410605,36.8456,115.7117,67.21,67.21,76,34,7.23
Pacifica,5380420,US,1619410429,37.6138,-122.4869,49.03,51.01,20,93,3.44
Henties Bay,3356832,NA,1619410606,-22.116,14.2845,60.01,60.01,3,93,1.99
Codrington,2171099,AU,1619410322,-38.2667,141.9667,60.84,60.84,100,66,11.07
Flinders,6255012,AU,1619410335,-34.5833,150.8552,71.17,72.0,0,37,4.61
Potosí,3907584,BO,1619410493,-19.5836,-65.7531,35.46,35.46,0,78,3.51
Warmbad,3352263,NA,1619410607,-28.45,18.7333,66.34,66.34,100,45,4.65
Umm Hājar,2426370,TD,1619410607,13.2954,19.6966,85.53,85.53,96,39,8.97
Bengkulu,1649150,ID,1619410608,-3.8004,102.2655,85.05,85.05,37,67,6.8
Hörstel,2898603,DE,1619410608,52.3167,7.5833,29.8,33.01,0,93,1.14
Korenovsk,544896,RU,1619410608,45.4686,39.4519,46.45,46.99,90,93,8.95
Pacific Grove,5380437,US,1619410609,36.6177,-121.9166,51.12,53.6,75,76,3.44
Senanga,898947,ZM,1619410609,-16.1167,23.2667,58.71,58.71,6,85,5.06
Cabo San Lucas,3985710,MX,1619410610,22.8909,-109.9124,73.0,73.0,100,36,1.01
Bathsheba,3374083,BB,1619410610,13.2167,-59.5167,78.8,78.8,40,61,14.97
Baft,390054,IR,1619410611,29.234,56.6057,65.16,65.16,48,25,5.88
Pisco,3932145,PE,1619410611,-13.7,-76.2167,63.21,64.0,0,88,1.14
Sobolevo,525426,RU,1619410611,54.4299,31.8996,31.78,31.78,11,77,7.56
Husavik,2629833,IS,1619410612,66.0449,-17.3389,35.6,35.6,75,87,8.05
Gilgit,1178338,PK,1619410612,35.9221,74.3087,60.78,60.78,3,31,3.78
Zaria,2317765,NG,1619410612,11.1113,7.7227,73.85,73.85,100,66,4.47
Japura,1642773,ID,1619410613,-0.3167,102.35,87.49,87.49,33,65,2.98
Paamiut,3421193,GL,1619410354,61.994,-49.6678,33.98,33.98,100,99,6.08
Varėna,593406,LT,1619410614,54.2167,24.5667,30.13,30.2,90,86,5.75
Sistranda,3139597,NO,1619410331,63.7256,8.834,35.6,35.6,75,93,6.91
Binga,895057,ZW,1619410614,-17.6203,27.3414,64.72,64.72,66,84,1.59
Ola,2122574,RU,1619410329,59.5833,151.2833,25.81,25.81,13,59,4.25
Pangnirtung,6096551,CA,1619410615,66.1451,-65.7125,29.16,29.16,98,80,7.05
Menongue,3347353,AO,1619410615,-14.6585,17.691,56.61,56.61,21,62,2.73
Terrell,4736028,US,1619410616,32.736,-96.2753,65.8,66.99,1,72,4.61
Guerrero Negro,4021858,MX,1619410616,27.9769,-114.0611,59.02,59.02,100,82,11.65
Terråk,3134658,NO,1619410616,65.087,12.3715,34.63,35.6,90,80,2.3
Bereket,161974,TM,1619410617,39.2446,55.5154,78.06,78.06,2,32,5.48
Irtyshskiy,1505495,RU,1619410617,58.3333,68.1333,42.67,42.67,100,85,6.73
Socorro,5530932,US,1619410507,31.6546,-106.3033,76.59,77.0,75,7,6.91
Yushu,2033242,CN,1619410618,44.8,126.5333,65.93,65.93,100,15,10.11
Tazovsky,1489853,RU,1619410612,67.4667,78.7,24.12,24.12,100,92,13.44
Muisne,3653967,EC,1619410618,0.6,-80.0333,77.23,77.23,100,83,3.44
Tiksi,2015306,RU,1619410612,71.6872,128.8694,27.09,27.09,100,94,13.73
Srednekolymsk,2121025,RU,1619410619,67.45,153.6833,26.58,26.58,12,66,8.79
Beloha,1067565,MG,1619410619,-25.1667,45.05,70.66,70.66,0,74,5.61
Elizabeth City,4465088,US,1619410620,36.2946,-76.2511,50.36,51.01,46,94,6.15
São Filipe,3374210,CV,1619410374,14.8961,-24.4956,71.98,71.98,99,70,8.77
Kavieng,2094342,PG,1619410620,-2.5744,150.7967,84.27,84.27,95,66,3.2
Rawson,3839307,AR,1619410621,-43.3002,-65.1023,59.29,59.29,28,52,17.43
Nishiwaki,1855134,JP,1619410621,34.9833,134.9667,61.18,66.2,0,45,8.05
Gravdal,3155152,NO,1619410621,68.1214,13.5031,37.0,37.0,99,64,7.47
Iralaya,3608828,HN,1619410622,15.0,-83.2333,78.94,78.94,12,72,10.65
Ulaangom,1515029,MN,1619410622,49.9811,92.0667,38.93,38.93,0,50,0.67
Priiskovyy,2017632,RU,1619410623,51.9333,116.6333,63.99,63.99,88,28,16.69
Dire Dawa,338832,ET,1619410623,9.5931,41.8661,71.06,71.06,85,72,5.64
Nicoya,3622716,CR,1619410623,10.1483,-85.452,80.6,80.6,0,54,11.5
Ugoofaaru,1337619,MV,1619410624,5.6667,73.0,83.55,83.55,5,70,2.73
Bereda,3105522,ES,1619410624,43.2686,-7.5406,47.48,48.0,98,100,1.01
Camiri,3922414,BO,1619410624,-20.05,-63.5167,54.46,54.46,3,94,2.64
Tuatapere,2180815,NZ,1619410360,-46.1333,167.6833,48.0,48.0,93,70,20.0
Cukai,1732945,MY,1619410625,4.25,103.4167,89.29,89.6,40,66,3.44
Ixtapa,4004293,MX,1619410625,20.7,-105.2,77.5,78.01,40,78,0.72
Kyrylivka,705852,UA,1619410626,46.3759,35.3675,46.6,46.6,46,61,7.7
Pascagoula,4440397,US,1619410626,30.3658,-88.5561,58.01,59.0,1,94,7.45
Beringovskiy,2126710,RU,1619410626,63.05,179.3167,31.87,31.87,47,90,1.88
Kiama,2161515,AU,1619410627,-34.6833,150.8667,69.85,71.6,0,23,6.91
Bukoba,160961,TZ,1619410627,-1.3317,31.8122,66.2,66.2,75,88,4.74
Viesca,3980230,MX,1619410628,25.35,-102.8,86.0,86.0,75,16,2.24
Xixiang,1788206,CN,1619410628,35.1628,112.865,72.3,72.3,46,47,6.17
Neiafu,4032420,TO,1619410628,-18.65,-173.9833,82.4,82.4,20,74,6.91
Roald,3141667,NO,1619410629,62.5833,6.1333,33.57,35.6,10,87,17.27
Saint-Estève,6441022,FR,1619410629,42.7131,2.843,57.09,57.2,0,72,8.05
Tiarei,4033356,PF,1619410630,-17.5333,-149.3333,80.29,80.6,20,74,6.91
Sur,286245,OM,1619410630,22.5667,59.5289,88.86,88.86,19,38,3.74
Trabzon Province,738647,TR,1619410630,40.9167,39.8333,53.6,53.6,75,87,9.22
Hofn,2630299,IS,1619410631,64.2539,-15.2082,42.75,42.75,10,69,13.38
Port Hedland,2063042,AU,1619410617,-20.3167,118.5667,91.4,91.4,0,10,13.8
San Cristobal,3628473,VE,1619410631,7.7669,-72.225,69.04,69.04,61,74,1.86
Joensuu,655808,FI,1619410632,62.6012,29.7632,36.86,37.99,90,93,8.05
Liepāja,457955,LV,1619410632,56.5419,21.0367,35.6,35.6,90,87,6.91
Sundargarh,1255437,IN,1619410633,22.1167,84.0333,93.2,93.2,0,26,4.61
Zaporizhia,687700,UA,1619410633,47.8167,35.1833,39.2,39.2,0,81,2.24
Nikolskoye,546105,RU,1619410633,59.7035,30.7861,37.81,39.0,90,87,13.42
Koson,1217007,UZ,1619410634,39.0375,65.585,73.4,73.4,0,40,6.91
